#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AK|J20K|64.1767|-154.1467|314.0|Nowitna River, AK, USA||
AK|J25K|64.613|-145.3697|949.0|Salcha River, AK, USA||
AK|J26L|64.5012|-143.5636|1144.0|Joseph Creek, AK, USA||
AK|K13K|61.9331|-164.6555|204.2|Kusilvak Mountain, AK, USA||
AK|K15K|62.2938|-161.5308|346.0|Wolf Creek Mountain, AK, USA||
AK|K203|61.2201|-149.7453|79.0|Anchorage, St Christopher Episcopal Church, AK, US||
AK|K204|61.1758|-150.011505|30.0|Anchorage, Signature Flight Support, AK, USA||
AK|K209|61.184601|-149.747192|96.0|Anchorage, Scenic Park Bible Church, AK, USA||
AK|K20K|63.3569|-154.07|548.0|Telida, AK, USA||
AK|K210|61.1292|-149.931|17.0|Anchorage, Mears Jr High School, AK, USA||
AK|K212|61.155602|-149.793396|70.0|Anchorage, BLM Office, AK, USA||
AK|K213|61.1128|-149.8595|51.0|Anchorage, ASD Operation Center, AK, USA||
AK|K215|61.086201|-149.752106|284.0|Anchorage, Rabbit Creek Fire Station, AK, USA||
AK|K216|61.0981|-149.6867|721.0|Anchorage, AT&T Surface and Borehole, AK, USA||
AK|K218|61.5926|-149.1332|87.0|Palmer, National Tsunami Warning Center, AK, USA||
AK|K220|61.154|-150.0552|68.0|Anchorage, Kincaid Park, AK, USA||
AK|K221|61.1525|-149.9512|38.0|Anchorage, St. James Orthodox Church, AK, USA||
AK|K222|61.0876|-149.8366|39.0|Anchorage, Chapel by the Sea, AK, USA||
AK|K223|61.2338|-149.8675|43.0|Anchorage, Government Hill Elem. School, AK, USA||
AK|K24K|63.8036|-145.7784|724.0|Donnelly Dome, AK, USA||
AK|K27K|64.0292|-142.0758|732.0|Chicken, AK, USA||
AK|KAI|59.9268|-144.4188|316.0|Kayak Island, AK, USA||
AK|KHIT|60.4427|-143.251|1101.0|Khitrov Hills, AK, USA||
AK|KIAG|60.9231|-142.3605|1752.2|Kiagna River, AK, USA||
AK|KNK|61.4131|-148.4585|598.0|Knik Glacier, AK, USA||
AK|KTH|63.5527|-150.9233|1172.0|Kantishna Hills, AK, USA||
AK|L14K|61.3416|-162.6829|41.0|Kuka Creek, AK, USA||
AK|L16K|61.7105|-159.4747|227.0|Owhat River, AK, USA||
AK|L17K|62.1344|-158.2972|338.0|Donlin, AK, USA||
AK|L18K|62.2195|-156.6886|329.0|Granite Mountain, AK, USA||
AK|L19K|62.1816|-154.8543|650.0|White Mountain, AK, USA||
AK|L20K|62.4787|-153.8798|673.0|Farewell, AK, USA||
AK|L22K|62.5258|-150.7703|817.0|Petersville, AK, USA||
AK|L26K|63.0254|-143.3478|650.0|Log Cabin Wilderness Lodge, Tok, AK, USA||
AK|LOGN|60.824|-141.0048|1663.1|Logan Glacier, AK, USA||
AK|M11K|60.3849|-166.2011|3.0|Mekoryuk, AK, USA||
AK|M14K|60.7515|-161.96|19.0|Bethel, AK, USA||
AK|M16K|61.0224|-158.9593|394.0|Timber Creek, AK, USA||
AK|M19K|61.9037|-154.3915|521.0|Big River Lodge, Big River, AK, USA||
AK|M20K|61.8823|-153.1318|1107.0|Styx River, AK, USA||
AK|M23K|61.7929|-147.7262|583.0|Glacier View, AK, USA||
AK|M26K|62.4013|-142.9963|888.0|Nabesna, AK, USA||
AK|MCAR|61.3836|-143.024|447.0|McCarthy VSAT, AK, USA||
AK|MCK|63.7318|-148.9373|618.0|McKinley Park, AK, USA||
AK|MDM|64.9602|-148.2319|631.0|Murphy Dome, AK, USA||
AK|MESA|60.1782|-141.9498|1907.0|Mesa, AK, USA||
AK|MLY|65.0304|-150.7442|812.0|Manley Hot Springs, AK, USA||
AK|MS01|61.5802|-149.4946|109.0|Burchell High School, Wasilla (established by UAA)||
AK|MS02|61.5904|-149.7689|74.0|Houston High School, Houston (established by UAA)||
AK|MS03|61.6091|-149.305|112.0|Finger Lake School, Wasilla (established by UAA)||
AK|N15K|60.1686|-160.0921|449.0|Kwethluk River, AK, USA||
AK|N18K|60.6801|-155.8897|572.0|Kilae Creek, AK, USA||
AK|N19K|60.8132|-154.4838|1144.0|Bonanza Creek NPS repeater, AK, USA||
